epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,3708.02,0.92898,0.49733,0.89693,0.9381,0.85554,0.93592,0.73394,0.80479,0.42899,0.87981,0.0047035,0.0047035,0.0047035
109,3742.45,0.9225,0.49668,0.89443,0.93378,0.8551,0.93473,0.73057,0.80912,0.43048,0.87942,0.004654,0.004654,0.004654
110,3776.45,0.92547,0.49565,0.89586,0.93741,0.85417,0.93621,0.73106,0.80303,0.42662,0.879,0.0046045,0.0046045,0.0046045
111,3810.73,0.92849,0.49874,0.89567,0.93185,0.85799,0.93655,0.73435,0.80125,0.42721,0.87839,0.004555,0.004555,0.004555
112,3845.37,0.91761,0.49251,0.89538,0.93396,0.85576,0.93648,0.7347,0.80355,0.42615,0.87961,0.0045055,0.0045055,0.0045055
113,3880.32,0.92235,0.49511,0.89571,0.93392,0.85644,0.93447,0.73481,0.79812,0.42515,0.87673,0.004456,0.004456,0.004456
114,3914.85,0.91742,0.49169,0.89369,0.93397,0.85657,0.93596,0.73655,0.79247,0.42223,0.87599,0.0044065,0.0044065,0.0044065
115,3948.31,0.91884,0.49247,0.89717,0.94161,0.85335,0.93599,0.73595,0.79735,0.4233,0.8764,0.004357,0.004357,0.004357
116,3982.25,0.91569,0.49242,0.89363,0.93518,0.85541,0.93706,0.73414,0.8003,0.42362,0.87678,0.0043075,0.0043075,0.0043075
117,4016.54,0.91567,0.49038,0.89405,0.93012,0.86211,0.93747,0.73645,0.7943,0.42221,0.87627,0.004258,0.004258,0.004258
118,4050.66,0.91589,0.49159,0.89523,0.93132,0.86074,0.93878,0.73714,0.79349,0.41948,0.87582,0.0042085,0.0042085,0.0042085
119,4084.55,0.91196,0.48826,0.89237,0.93803,0.85743,0.93856,0.73721,0.79445,0.41895,0.87567,0.004159,0.004159,0.004159
